sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,priors_count_cat,c_days_from_compas,c_charge_degree,two_year_recid
Male,69,Greater than 45,Other,0,0,0,0,None,1,F,1
Male,34,25 - 45,African-American,0,0,0,0,None,1,F,0
Male,24,Less than 25,African-American,0,0,1,4,Moderate,1,F,0
Male,23,Less than 25,African-American,0,1,0,1,Low,1,F,1
Male,43,25 - 45,Other,0,0,0,2,Low,76,F,1
Male,44,25 - 45,Other,0,0,0,0,None,0,M,1
Male,41,25 - 45,Caucasian,0,0,0,14,High,1,F,0
Male,43,25 - 45,Other,0,0,0,3,Low,1,F,1
Female,39,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Male,21,Less than 25,Caucasian,0,0,0,1,Low,308,F,0
Male,27,25 - 45,Caucasian,0,0,0,0,None,1,F,1
Male,23,Less than 25,African-American,0,0,0,3,Low,0,M,0
Female,37,25 - 45,Caucasian,0,0,0,0,None,0,M,1
Male,41,25 - 45,African-American,0,0,0,0,None,1,F,1
Female,47,Greater than 45,Caucasian,0,0,0,1,Low,490,F,0
Male,31,25 - 45,African-American,0,0,0,7,High,71,F,0
Male,37,25 - 45,Hispanic,0,0,0,0,None,0,M,1
Male,25,25 - 45,African-American,0,0,0,3,Low,1,F,1
Male,31,25 - 45,Caucasian,0,0,0,6,Moderate,1,F,0
Male,31,25 - 45,Caucasian,0,0,0,5,Moderate,1,F,0
Male,64,Greater than 45,African-American,0,0,0,13,High,1,F,0
Male,21,Less than 25,African-American,0,0,0,1,Low,1,F,0
Male,27,25 - 45,Caucasian,0,0,0,0,None,0,M,0
Female,21,Less than 25,Caucasian,0,0,0,0,None,2,F,1
Male,24,Less than 25,Hispanic,0,0,0,1,Low,1,F,0
Male,43,25 - 45,Caucasian,0,0,0,1,Low,1,M,1
Male,32,25 - 45,Other,0,0,0,0,None,1,M,1
Male,27,25 - 45,African-American,0,0,0,8,High,1,F,0
Female,36,25 - 45,Caucasian,0,0,0,3,Low,95,F,1
Male,26,25 - 45,African-American,0,0,1,5,Moderate,1,F,0
Male,33,25 - 45,African-American,0,0,0,0,None,1,F,0
Male,30,25 - 45,Caucasian,0,0,0,9,High,0,F,0
Male,32,25 - 45,African-American,0,0,0,4,Moderate,1,F,0
Male,55,Greater than 45,Caucasian,0,0,0,0,None,1,F,1
Male,49,Greater than 45,Other,0,0,0,7,High,0,F,0
Male,26,25 - 45,Caucasian,0,0,2,6,Moderate,382,M,1
Female,33,25 - 45,Caucasian,0,0,0,4,Moderate,1,M,0
Male,24,Less than 25,Caucasian,0,0,0,1,Low,0,M,0
Male,34,25 - 45,African-American,2,1,3,21,High,0,F,0
Male,29,25 - 45,Caucasian,0,0,0,0,None,1,M,1
Female,21,Less than 25,African-American,0,0,0,2,Low,1,F,1
Male,51,Greater than 45,African-American,0,0,0,2,Low,1,M,1
Male,29,25 - 45,Caucasian,0,0,0,2,Low,1,M,0
Female,51,Greater than 45,African-American,0,0,0,7,High,1,F,1
Male,29,25 - 45,African-American,0,0,0,0,None,0,F,0
Male,25,25 - 45,Caucasian,0,0,0,9,High,1,M,0
Male,35,25 - 45,African-American,1,0,4,13,High,1,F,0
Male,49,Greater than 45,Caucasian,0,0,0,0,None,0,M,1
Male,34,25 - 45,African-American,0,0,0,4,Moderate,59,M,0
Male,29,25 - 45,African-American,0,0,0,0,None,1,F,1
Male,29,25 - 45,Caucasian,0,0,0,1,Low,24,F,0
Female,28,25 - 45,Other,0,0,0,0,None,1,F,1
Male,48,Greater than 45,Caucasian,0,0,0,20,High,562,F,0
Female,63,Greater than 45,Hispanic,0,0,0,1,Low,219,F,1
Male,31,25 - 45,African-American,0,0,1,15,High,1,F,1
Male,24,Less than 25,African-American,0,0,0,2,Low,1,F,0
Male,30,25 - 45,Hispanic,0,0,0,0,None,0,M,1
Male,49,Greater than 45,African-American,0,0,0,4,Moderate,1,M,1
Male,53,Greater than 45,Caucasian,0,0,0,8,High,13,F,1
Male,35,25 - 45,African-American,0,0,0,5,Moderate,1,F,1
Male,63,Greater than 45,African-American,0,0,0,10,High,906,M,0
Male,27,25 - 45,African-American,1,1,2,15,High,1,F,0
Male,38,25 - 45,Caucasian,0,0,0,4,Moderate,1,M,0
Male,22,Less than 25,African-American,0,0,1,1,Low,1,F,0
Male,22,Less than 25,African-American,0,1,2,2,Low,114,F,0
Male,29,25 - 45,African-American,0,0,0,4,Moderate,1,F,0
Male,62,Greater than 45,Hispanic,0,0,0,0,None,1,M,1
Male,27,25 - 45,African-American,0,1,0,6,Moderate,0,F,0
Male,33,25 - 45,Other,0,0,0,0,None,1,M,1
Female,56,Greater than 45,African-American,0,0,0,0,None,1,M,1
Male,45,Greater than 45,Hispanic,0,0,0,6,Moderate,1,F,0
Male,22,Less than 25,Hispanic,0,0,0,1,Low,1,F,1
Male,39,25 - 45,African-American,0,0,0,1,Low,1,M,1
Male,29,25 - 45,African-American,0,0,0,5,Moderate,0,F,0
Male,27,25 - 45,Caucasian,0,0,1,1,Low,1,F,0
Male,40,25 - 45,African-American,0,0,0,2,Low,15,F,1
Male,22,Less than 25,African-American,0,0,0,1,Low,1,M,0
Male,22,Less than 25,Caucasian,0,0,0,0,None,1,F,1
Female,26,25 - 45,African-American,0,0,0,1,Low,1,F,0
Male,27,25 - 45,Caucasian,0,0,0,1,Low,44,F,0
Male,32,25 - 45,African-American,0,0,0,0,None,1,F,1
Male,41,25 - 45,African-American,0,0,0,1,Low,5185,M,1
Male,30,25 - 45,African-American,0,0,0,8,High,1,M,0
Male,50,Greater than 45,Other,0,0,0,0,None,1,F,0
Male,25,25 - 45,African-American,1,6,1,14,High,1,F,0
Male,20,Less than 25,Other,0,0,0,0,None,1,F,0
Male,22,Less than 25,African-American,1,0,0,2,Low,0,F,0
Male,23,Less than 25,African-American,0,0,1,2,Low,192,M,0
Female,35,25 - 45,African-American,0,0,0,1,Low,1,M,1
Male,36,25 - 45,African-American,0,0,0,9,High,1,F,0
Male,26,25 - 45,Caucasian,0,0,0,7,High,1,F,0
Male,21,Less than 25,Other,0,0,0,1,Low,1,F,0
Male,25,25 - 45,Caucasian,0,0,0,9,High,1,F,0
Male,71,Greater than 45,African-American,0,0,0,12,High,804,M,1
Female,20,Less than 25,Caucasian,0,0,0,0,None,1,F,1
Male,39,25 - 45,Caucasian,0,0,0,2,Low,3,F,0
Male,66,Greater than 45,Caucasian,0,0,0,3,Low,64,F,1
Female,54,Greater than 45,Caucasian,0,0,0,0,None,1,M,1
Female,44,25 - 45,Hispanic,0,0,0,0,None,2,M,1
Male,19,Less than 25,African-American,0,0,0,1,Low,10,M,0
Male,24,Less than 25,African-American,0,0,0,1,Low,137,F,1
Male,30,25 - 45,African-American,0,0,0,1,Low,1,F,1
